FIPS,renter_occupied
060371919011,1387
060371919012,2090
060371919021,802
060371919022,536
060371920011,630
060371920012,804
060371920021,253
060371920022,350
060371920023,404
060371923001,316
060371923002,510
060371923003,533
060371924101,628
060371924102,626
060371924103,705
060371924104,378
060371924201,1290
060371924202,1910
060371925101,1385
060371925102,1479
060371925201,3142
060371925202,1866
060371926101,1343
060371926102,378
060371926103,1904
060371926201,1918
060371926202,1288
060371927001,1237
060371927002,1892
060371941011,378
060371941012,1454
060371941021,0
060371941022,383
060371941023,23
060371942001,180
060371942002,221
060371942003,575
060371943001,278
060371943002,170
060371943003,116
060371944011,1145
060371944012,717
060371944021,633
060371944022,1009
060371944023,385
060371945001,570
060371945002,348
060371951001,689
060371951002,306
060371951003,147
060371951004,340
060371952011,1630
060371952012,511
060371952021,279
060371952022,517
060371952023,779
060371953001,491
060371953002,669
060371953003,934
060371954001,290
060371954002,529
060371954003,463
060371954004,563
060371955001,1101
060371955002,824
060371955003,574
060371955004,131
060371956001,461
060371956002,650
060371956003,128
060371956004,623
060371957101,889
060371957102,947
060371957103,1318
060371957201,922
060371957202,583
060371958021,998
060371958022,1112
060371958031,1062
060371958032,682
060371958041,809
060371958042,1322
060371959011,1792
060371959021,558
060371959022,731
060371959031,874
060371959032,603
060371972001,720
060371972002,577
060371972003,289
060371973001,1183
060371973002,533
060371973003,897
060371974101,362
060371974102,849
060371974103,434
060371974201,1262
060371974202,1330
060371975001,1370
060371975002,649
060371975003,765
060371976001,556
060371976002,1057
060371977001,2124
060371977002,909
060371977003,1455
060371990011,1982
060371990021,1035
060371990022,1208
060371991101,390
060371991102,850
060371991201,2044
060371991202,954
060371992011,730
060371992012,1104
060371992013,1174
060371992021,896
060371992022,566
060371993001,320
060371993002,1540
060371994001,488
060371994002,1684
060371994003,1507
060371997001,939
060371997002,1234
060371998011,1124
060371998012,1191
060371998021,584
060371998022,673
060371999001,1385
060371999002,601
060372011101,193
060372011102,394
060372011201,1422
060372011202,743
060372011203,455
060372012001,1123
060372013011,338
060372013012,1309
060372013021,338
060372013022,363
060372013023,472
060372014011,1543
060372014012,1014
060372014021,552
060372014022,616
060372014023,94
060372015011,841
060372015012,468
060372015013,753
060372015014,1031
060372015031,788
060372015032,1189
060372015041,810
060372016011,1136
060372016021,288
060372016022,798
060372016023,245
060372017001,226
060372017002,566
060372017003,814
060372031001,903
060372031002,1646
060372031003,1301
060372032001,829
060372032002,2245
060372032003,902
060372033001,802
060372035001,539
060372035002,908
060372035003,584
060372036011,1046
060372036012,1171
060372036021,1420
060372037101,1661
060372037102,1003
060372037201,1774
060372037202,904
060372038001,686
060372038002,882
060372038003,819
060372038004,328
060372039001,977
060372039002,1017
060372041101,488
060372041102,506
060372041103,648
060372041201,915
060372041202,897
060372042001,1431
060372042002,1007
060372043001,1699
060372043002,699
060372043003,1456
060372044101,893
060372044102,1364
060372044201,2035
060372044202,701
060372046001,2089
060372046002,641
060372047001,1031
060372047002,1106
060372047003,722
060372048101,1531
060372048102,312
060372048103,1362
060372048201,577
060372048202,862
060372049101,1676
060372049102,844
060372049201,868
060372049202,657
060372051101,2613
060372051102,865
060372051201,2016
060372051202,1176
060372060101,1907
060372060102,1435
060372060201,499
060372060501,2092
060372060511,317
060372060512,381
060372060521,2900
060372060531,483
060372060532,1887
060372060541,2171
060372062011,219
060372062012,1491
060372062021,1385
060372063011,1090
060372063021,256
060372063022,414
060372063031,695
060372071011,2262
060372071012,1739
060372071021,2976
060372071031,676
060372071032,1346
060372073031,1261
060372073032,903
060372073041,1099
060372073042,957
060372073051,636
060372073061,681
060372073062,944
060372073071,1461
060372073081,1288
060372074001,1434
060372075011,1009
060372075012,741
060372075021,1220
060372075022,2097
060372077111,1464
060372077121,2721
060372077122,864
060372079011,980
060372079012,1786
060372079021,4914
060372079022,726
060372080011,2233
060372080021,1766
060372080022,2161
060372083011,1958
060372083021,480
060372083022,989
060372083023,2997
060372084011,1631
060372084012,2520
060372084021,1207
060372084022,948
060372085011,1123
060372085012,1127
060372085021,1356
060372085022,1375
060372085023,1222
060372086101,1193
060372086102,2648
060372086201,676
060372086202,1567
060372086203,1064
060372087101,1963
060372087102,2372
060372087201,2330
060372087202,1237
060372088011,2203
060372088012,831
060372088021,1837
060372088022,987
060372089021,1762
060372089022,699
060372089031,2372
060372089032,1284
060372089041,1946
060372089042,2142
060372091031,1628
060372091032,2169
060372091041,2424
060372091051,3496
060372091061,2240
060372092011,2829
060372092021,1621
060372093001,1780
060372093002,1812
060372093003,990
060372094011,1911
060372094012,1802
060372094021,1419
060372094022,2341
060372094031,2088
060372094032,1797
060372095101,814
060372095102,2053
060372095201,1803
060372095202,859
060372098101,1092
060372098102,1005
060372098201,1349
060372098202,924
060372100101,1136
060372100102,1205
060372100103,783
060372110001,0
060372110002,94
060372110003,95
060372110004,1418
060372110005,77
060372111211,882
060372111212,1214
060372111221,1076
060372111222,1524
060372111231,1488
060372111241,1064
060372111242,1476
060372111243,1390
060372112011,747
060372112012,1652
060372112021,2225
060372113101,1522
060372113102,1631
060372113201,703
060372113202,2631
060372114101,2294
060372114102,244
060372114201,1738
060372114202,1013
060372115001,419
060372115002,1731
060372115003,296
060372117011,814
060372117012,300
060372117013,303
060372117031,2097
060372117032,1953
060372117041,863
060372117042,1555
060372118021,1790
060372118022,1730
060372118023,723
060372118031,1362
060372118032,1659
060372118041,871
060372118042,2191
060372119101,1276
060372119102,1338
060372119103,1338
060372119211,2261
060372119221,1179
060372119222,2478
060372121011,725
060372121012,1594
060372121021,740
060372121022,1819
060372122021,1890
060372122022,1188
060372122031,1162
060372122032,1364
060372122041,1529
060372122042,1318
060372123031,1764
060372123032,2077
060372123041,1582
060372123051,2728
060372123061,1558
060372123062,1446
060372124101,1039
060372124102,1156
060372124103,1884
060372124201,1868
060372124202,1258
060372125011,1801
060372125021,1077
060372125022,1486
060372126101,1186
060372126102,1990
060372126201,1679
060372126202,2060
060372127011,1116
060372127021,979
060372127022,784
060372127023,58
060372128001,657
060372128002,755
060372128003,398
060372129001,1011
060372129002,2483
060372131001,1403
060372131002,481
060372132011,1369
060372132012,1142
060372132013,1230
060372132021,1468
060372132022,1622
060372133101,917
060372133102,1124
060372133201,1585
060372133202,692
060372134011,2074
060372134012,1271
060372134013,1225
060372134021,1919
060372134022,932
060372134023,1444
060372140001,401
060372140002,123
060372140003,271
060372140004,728
060372141001,712
060372141002,33
060372141003,215
060372141004,932
060372144001,956
060372144002,1068
060372144003,901
060372145011,531
060372145012,1203
060372145013,1716
060372145031,966
060372145032,1713
060372145033,525
060372145041,1793
060372145042,1737
060372145051,1258
060372146001,535
060372146002,634
060372146003,533
060372147001,389
060372147002,311
060372147003,397
060372148001,997
060372148002,566
060372148003,300
060372149021,706
060372149022,1068
060372149031,490
060372149032,607
060372149041,565
060372149042,409
060372151011,1578
060372151012,1106
060372151021,1131
060372151022,447
060372151023,1510
060372161001,0
060372161002,310
060372161003,341
060372162011,434
060372162012,1108
060372162021,859
060372162022,739
060372163011,302
060372163021,1019
060372163022,1339
060372164011,1307
060372164012,879
060372164013,1050
060372164021,1279
060372164022,1034
060372167001,804
060372167002,817
060372167003,196
060372168001,419
060372168002,855
060372168003,267
060372168004,386
060372169011,431
060372169012,108
060372169013,351
060372169021,452
060372169022,1207
060372170011,308
060372170012,644
060372170013,368
060372170021,1256
060372170022,1167
060372170023,1042
060372171011,447
060372171012,2165
060372171021,837
060372171022,193
060372171023,619
060372172001,429
060372172002,717
060372172003,492
060372172004,1106
060372181101,2190
060372181102,749
060372181201,1773
060372181202,436
060372181203,543
060372182101,1109
060372182102,855
060372182103,809
060372182201,557
060372182202,1352
060372182203,631
060372183001,1200
060372183002,611
060372183003,362
060372183004,570
060372183005,1080
060372184001,1201
060372184002,655
060372184003,198
060372184004,736
060372185001,802
060372185002,820
060372186001,256
060372186002,559
060372186003,1014
060372187011,631
060372187012,590
060372187021,899
060372187022,975
060372188001,1379
060372188002,597
060372189001,1068
060372189002,1217
060372189003,2687
060372190101,708
060372190102,724
060372190201,1432
060372190202,577
060372190203,317
060372193001,1059
060372193002,592
060372193003,1482
060372195001,176
060372195002,272
060372197001,336
060372197002,498
060372197003,795
060372198001,665
060372198002,769
060372198003,558
060372199011,523
060372199012,2109
060372199013,872
060372199021,1146
060372199022,151
060372199023,226
060372200001,769
060372200002,594
060372200003,130
060372200004,616
060372200005,885
060372201001,320
060372201002,385
060372201003,508
060372211101,289
060372211102,2709
060372211201,1461
060372211202,1249
060372212101,670
060372212102,1489
060372212201,945
060372212202,1367
060372213021,1709
060372213022,1529
060372213031,1191
060372213032,871
060372213041,2529
060372213042,1038
060372214011,858
060372214012,1496
060372214021,883
060372214022,787
060372215001,1442
060372215002,1013
060372216011,1514
060372216012,817
060372216021,837
060372216022,1426
060372217101,1291
060372217102,962
060372218101,998
060372218102,1386
060372218201,603
060372218202,1206
060372219001,1364
060372219002,949
060372220011,715
060372220012,415
060372220021,1223
060372220022,615
060372220023,486
060372220024,768
060372221001,1537
060372221002,1163
060372221003,0
060372222001,1530
060372222002,1299
060372225001,821
060372225002,1673
060372225003,578
060372226001,1095
060372226002,2528
060372226003,871
060372227001,289
060372240101,1296
060372240102,1606
060372240201,775
060372240202,1678
060372242001,1401
060372242002,781
060372243101,758
060372243102,1246
060372243201,1559
060372243202,1432
060372244101,1133
060372244102,1283
060372244201,995
060372244202,1139
060372246001,1557
060372246002,1062
060372247011,768
060372247021,1578
060372260011,2093
060372260021,1071
060372260022,647
060372264101,1993
060372264102,1181
060372264201,1161
060372264202,1160
060372264203,1784
060372267011,896
060372267012,617
060372267021,700
060372267022,1912
060372270101,1445
060372270102,1096
060372270103,1511
060372270201,1534
060372270202,1160
060372281001,787
060372281002,1612
060372281003,1014
060372282101,1242
060372282102,1594
060372282201,799
060372282202,978
060372282203,1121
060372283101,1318
060372283102,906
060372283103,909
060372283201,974
060372283202,1596
060372284101,1315
060372284102,1194
060372284201,989
060372284202,1193
060372285001,1976
060372285002,750
060372285003,863
060372286001,2232
060372286002,1688
060372287101,2215
060372287102,882
060372287201,1004
060372287202,1087
060372287203,1283
060372288001,961
060372288002,1466
060372288003,754
060372289001,1497
060372289002,867
060372291001,1757
060372291002,1317
060372292001,910
060372292002,3105
060372293001,1807
060372293002,745
060372293003,1416
060372294101,1663
060372294102,1177
060372294201,796
060372294202,2111
060372311001,1218
060372311002,1188
060372312101,1621
060372312102,2007
060372312201,2612
060372312202,1248
060372313011,1813
060372313021,1109
060372313022,481
060372313023,71
060372314001,731
060372314002,1058
060372314003,595
060372315001,774
060372315002,648
060372315003,424
060372316011,708
060372316012,579
060372316021,457
060372316022,487
060372316031,986
060372316032,1223
