"GEO_ID","NAME","B25008_001E","B25008_001M","B25008_002E","B25008_002M","B25008_003E","B25008_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US060371046202","Block Group 2, Census Tract 1046.20, Los Angeles County, California","2031","479","1487","386","544","293",
"1500000US060371047011","Block Group 1, Census Tract 1047.01, Los Angeles County, California","961","283","516","202","445","234",
"1500000US060371047012","Block Group 2, Census Tract 1047.01, Los Angeles County, California","1798","349","0","13","1798","349",
"1500000US060371047013","Block Group 3, Census Tract 1047.01, Los Angeles County, California","1047","305","549","247","498","197",
"1500000US060371047031","Block Group 1, Census Tract 1047.03, Los Angeles County, California","1137","366","123","102","1014","385",
"1500000US060371047032","Block Group 2, Census Tract 1047.03, Los Angeles County, California","1230","490","895","461","335","220",
"1500000US060371047041","Block Group 1, Census Tract 1047.04, Los Angeles County, California","1640","580","1334","582","306","203",
"1500000US060371047042","Block Group 2, Census Tract 1047.04, Los Angeles County, California","1490","644","728","564","762","293",
"1500000US060371047043","Block Group 3, Census Tract 1047.04, Los Angeles County, California","1357","433","1104","426","253","234",
"1500000US060371048211","Block Group 1, Census Tract 1048.21, Los Angeles County, California","2512","414","1120","283","1392","399",
"1500000US060371048212","Block Group 2, Census Tract 1048.21, Los Angeles County, California","1002","461","689","465","313","151",
"1500000US060371048221","Block Group 1, Census Tract 1048.22, Los Angeles County, California","2668","343","1051","268","1617","300",
"1500000US060371048231","Block Group 1, Census Tract 1048.23, Los Angeles County, California","1683","504","1155","404","528","348",
"1500000US060371048232","Block Group 2, Census Tract 1048.23, Los Angeles County, California","1663","767","1390","694","273","302",
"1500000US060371048241","Block Group 1, Census Tract 1048.24, Los Angeles County, California","767","406","641","429","126","145",
"1500000US060371048242","Block Group 2, Census Tract 1048.24, Los Angeles County, California","2014","1199","1764","1199","250","339",
"1500000US060371060101","Block Group 1, Census Tract 1060.10, Los Angeles County, California","1563","578","899","525","664","347",
"1500000US060371060102","Block Group 2, Census Tract 1060.10, Los Angeles County, California","1931","484","1816","478","115","103",
"1500000US060371060201","Block Group 1, Census Tract 1060.20, Los Angeles County, California","1880","488","1460","430","420","324",
"1500000US060371060202","Block Group 2, Census Tract 1060.20, Los Angeles County, California","1472","386","1336","393","136","145",
"1500000US060371060203","Block Group 3, Census Tract 1060.20, Los Angeles County, California","1430","908","991","835","439","357",
"1500000US060371061111","Block Group 1, Census Tract 1061.11, Los Angeles County, California","2606","741","2554","752","52","72",
"1500000US060371061112","Block Group 2, Census Tract 1061.11, Los Angeles County, California","2078","358","1799","336","279","245",
"1500000US060371061121","Block Group 1, Census Tract 1061.12, Los Angeles County, California","1682","405","1355","363","327","306",
"1500000US060371061122","Block Group 2, Census Tract 1061.12, Los Angeles County, California","1985","599","1901","590","84","111",
"1500000US060371061123","Block Group 3, Census Tract 1061.12, Los Angeles County, California","1357","358","1115","371","242","242",
"1500000US060371061131","Block Group 1, Census Tract 1061.13, Los Angeles County, California","2157","542","1678","532","479","240",
"1500000US060371061132","Block Group 2, Census Tract 1061.13, Los Angeles County, California","1532","380","1401","388","131","122",
"1500000US060371061141","Block Group 1, Census Tract 1061.14, Los Angeles County, California","1358","375","401","164","957","399",
"1500000US060371061142","Block Group 2, Census Tract 1061.14, Los Angeles County, California","2460","454","486","214","1974","463",
"1500000US060371061143","Block Group 3, Census Tract 1061.14, Los Angeles County, California","2838","868","2379","843","459","328",
"1500000US060371064031","Block Group 1, Census Tract 1064.03, Los Angeles County, California","848","298","753","280","95","109",
"1500000US060371064032","Block Group 2, Census Tract 1064.03, Los Angeles County, California","1211","353","1028","374","183","143",
"1500000US060371064033","Block Group 3, Census Tract 1064.03, Los Angeles County, California","1432","401","792","396","640","377",
"1500000US060371064051","Block Group 1, Census Tract 1064.05, Los Angeles County, California","1455","388","1115","373","340","225",
"1500000US060371064052","Block Group 2, Census Tract 1064.05, Los Angeles County, California","1797","638","864","419","933","566",
"1500000US060371064053","Block Group 3, Census Tract 1064.05, Los Angeles County, California","1135","433","607","345","528","312",
"1500000US060371064061","Block Group 1, Census Tract 1064.06, Los Angeles County, California","3529","701","2752","709","777","390",
"1500000US060371064062","Block Group 2, Census Tract 1064.06, Los Angeles County, California","1154","467","973","512","181","162",
"1500000US060371064063","Block Group 3, Census Tract 1064.06, Los Angeles County, California","1655","799","1242","747","413","307",
"1500000US060371064071","Block Group 1, Census Tract 1064.07, Los Angeles County, California","1358","263","376","153","982","269",
"1500000US060371064072","Block Group 2, Census Tract 1064.07, Los Angeles County, California","1040","334","121","105","919","329",
"1500000US060371064081","Block Group 1, Census Tract 1064.08, Los Angeles County, California","2920","542","544","180","2376","529",
"1500000US060371064082","Block Group 2, Census Tract 1064.08, Los Angeles County, California","811","276","0","13","811","276",
"1500000US060371065101","Block Group 1, Census Tract 1065.10, Los Angeles County, California","1730","739","1356","681","374","287",
"1500000US060371065102","Block Group 2, Census Tract 1065.10, Los Angeles County, California","1925","486","1118","517","807","472",
"1500000US060371065103","Block Group 3, Census Tract 1065.10, Los Angeles County, California","1692","635","1192","633","500","259",
"1500000US060371065201","Block Group 1, Census Tract 1065.20, Los Angeles County, California","2174","586","1502","514","672","390",
"1500000US060371065202","Block Group 2, Census Tract 1065.20, Los Angeles County, California","2084","487","1458","426","626","354",
"1500000US060371065203","Block Group 3, Census Tract 1065.20, Los Angeles County, California","1577","563","864","321","713","488",
"1500000US060371066031","Block Group 1, Census Tract 1066.03, Los Angeles County, California","1656","454","1459","416","197","245",
"1500000US060371066032","Block Group 2, Census Tract 1066.03, Los Angeles County, California","1953","550","1735","559","218","128",
"1500000US060371066041","Block Group 1, Census Tract 1066.04, Los Angeles County, California","1934","672","897","554","1037","337",
"1500000US060371066042","Block Group 2, Census Tract 1066.04, Los Angeles County, California","1114","331","773","322","341","198",
"1500000US060371066043","Block Group 3, Census Tract 1066.04, Los Angeles County, California","677","310","247","170","430","264",
"1500000US060371066411","Block Group 1, Census Tract 1066.41, Los Angeles County, California","2193","268","1978","289","215","101",
"1500000US060371066421","Block Group 1, Census Tract 1066.42, Los Angeles County, California","1111","297","1047","309","64","59",
"1500000US060371066422","Block Group 2, Census Tract 1066.42, Los Angeles County, California","1297","522","1110","508","187","231",
